Region,County,Central City
Urban,Alamance,Burlington
Urban,Buncombe,Asheville
Urban,Burke,Hickory-Lenior-Morganton
Urban,Caldwell,Hickory-Lenior-Morganton
Urban,Catawba,Hickory-Lenior-Morganton
Urban,Craven,New Bern
Urban,Cumberland,Fayetteville
Urban,Durham,Durham
Urban,Edgecombe,Rocky Mount
Urban,Forsyth,Winston-Salem
Urban,Guilford,Greensboro
Urban,Mecklenburg,Charlotte
Urban,Nash,Rocky Mount
Urban,New Hanover,Wilmington
Urban,Onslow,Jacksonville
Urban,Orange,Chapel Hill
Urban,Pitt,Greenville
Urban,Wake,Raleigh
Urban,Wayne,Goldsboro
Suburban,Alexander,Hickory-Lenior-Morganton
Suburban,Brunswick,Myrtle Beach SC
Suburban,Cabarrus,Charlotte
Suburban,Chatham,Durham
Suburban,Currituck,Virginia Beach VA
Suburban,Davidson,Winston-Salem
Suburban,Davie,Winston-Salem
Suburban,Franklin,Raleigh
Suburban,Gaston,Charlotte
Suburban,Gates,Virginia Beach VA
Suburban,Haywood,Asheville
Suburban,Henderson,Asheville
Suburban,Hoke,Fayetteville
Suburban,Iredell,Charlotte
Suburban,Johnston,Raleigh
Suburban,Jones,New Bern
Suburban,Lincoln,Charlotte
Suburban,Madison,Asheville
Suburban,Pamlico,New Bern
Suburban,Pender,Wilmington
Suburban,Person,Durham
Suburban,Randolph,Greensboro
Suburban,Rockingham,Greensboro
Suburban,Rowan,Charlotte
Suburban,Stokes,Winston-Salem
Suburban,Union,Charlotte
Suburban,Yadkin,Winston-Salem
Rural,Alleghany,
Rural,Anson,
Rural,Ashe,
Rural,Avery,
Rural,Beaufort,
Rural,Bertie,
Rural,Bladen,
Rural,Camden,
Rural,Carteret,
Rural,Caswell,
Rural,Cherokee,
Rural,Chowan,
Rural,Clay,
Rural,Cleveland,
Rural,Columbus,
Rural,Dare,
Rural,Duplin,
Rural,Graham,
Rural,Granville,
Rural,Greene,
Rural,Halifax,
Rural,Harnett,
Rural,Hertford,
Rural,Hyde,
Rural,Jackson,
Rural,Lee,
Rural,Lenoir,
Rural,Macon,
Rural,Martin,
Rural,Mcdowell,
Rural,Mitchell,
Rural,Montgomery,
Rural,Moore,
Rural,Northampton,
Rural,Pasquotank,
Rural,Perquimans,
Rural,Polk,
Rural,Richmond,
Rural,Robeson,
Rural,Rutherford,
Rural,Sampson,
Rural,Scotland,
Rural,Stanly,
Rural,Surry,
Rural,Swain,
Rural,Transylvania,
Rural,Tyrrell,
Rural,Vance,
Rural,Warren,
Rural,Washington,
Rural,Watauga,
Rural,Wilkes,
Rural,Wilson,
Rural,Yancey,
