year,fall,start_date,end date,aug_days,sep_days,oct_days,nov_days,dec_days,jan_days,feb_days,mar_days,apr_days,may_days,total_days,total_snow
1975-1976,1975,,,0,0,0,0,0,3,3,1,0,0,7,19
1976-1977,1976,,,0,0,0,1,4,21,7,0,0,0,33,47.5
1977-1978,1977,,,0,0,0,4,2,17,13,3,0,0,39,55.4
1978-1979,1978,,,0,0,0,0,0,8,11,0,0,0,19,52
1979-1980,1979,,,0,0,0,0,0,2,7,2,0,0,11,36
1980-1981,1980,,,0,0,0,0,0,7,5,1,0,0,13,45.6
1981-1982,1981,,,0,0,0,1,6,6,0,0,0,0,13,53.5
1982-1983,1982,,,0,0,0,0,1,5,8,1,1,0,16,63.5
1983-1984,1983,,,0,0,0,1,0,2,6,4,0,0,13,43
1984-1985,1984,,,0,0,0,0,2,8,6,0,0,0,16,40
1985-1986,1985,,,0,0,0,0,1,8,3,0,0,0,12,39
1986-1987,1986,,,0,0,0,0,2,9,7,0,4,0,22,78.5
1987-1988,1987,,,0,0,0,0,1,6,1,2,0,0,10,40
1988-1989,1988,,,0,0,0,0,1,3,5,0,0,0,9,44.5
1989-1990,1989,,,0,1,0,1,8,1,0,0,0,0,11,27.5
1990-1991,1990,,,0,0,0,0,0,2,2,0,0,0,4,12.5
1991-1992,1991,,,0,0,0,0,0,2,1,3,0,0,6,23.5
1992-1993,1992,,,0,0,0,1,6,0,2,5,0,0,14,72
1993-1994,1993,,,0,0,0,1,1,11,1,1,0,0,15,36
1994-1995,1994,,,2,0,0,0,0,4,7,1,0,0,14,24.5
1995-1996,1995,,,0,0,2,2,1,5,9,4,0,0,23,77
1996-1997,1996,1996-08-15,1997-06-06,0,1,0,0,4,4,1,0,0,0,10,23.3
1997-1998,1997,1997-08-14,1998-06-09,0,0,0,0,1,5,4,3,0,0,13,32.6
1998-1999,1998,1998-08-13,1999-06-08,0,0,0,0,0,5,2,4,0,0,11,28.3
1999-2000,1999,1999-08-12,2000-06-07,0,0,0,0,0,9,3,0,0,0,12,15.8
2000-2001,2000,2000-08-10,2001-06-06,0,0,0,0,2,4,2,6,0,0,14,32.8
2001-2002,2001,2001-08-09,2002-05-28,0,0,0,0,0,3,4,0,0,0,7,3.6
2002-2003,2002,2001-08-08,2003-06-06,0,0,0,0,3,7,6,1,0,0,17,19.6
2003-2004,2003,2003-08-07,2004-06-17,0,0,0,1,5,6,6,0,0,0,18,39.5
2004-2005,2004,2001-08-12,2005-06-07,0,4,0,0,3,1,4,3,0,0,15,25.9
2005-2006,2005,2005-08-11,2006-06-01,0,0,0,0,5,2,2,1,0,0,10,17.7
2006-2007,2006,2006-08-10,2007-05-29,0,0,0,0,1,2,2,0,1,0,6,15.2
2007-2008,2007,2007-08-09,2008-05-28,0,0,0,0,2,1,3,0,0,0,6,10.3
2008-2009,2008,2008-08-07,2009-06-08,0,0,1,2,2,4,6,2,1,0,18,23.5
2009-2010,2009,2009-08-12,2010-06-04,0,0,0,0,3,8,13,2,0,0,26,60.1
2010-2011,2010,2010-08-11,2011-06-05,0,0,0,0,10,10,1,1,0,0,22,48
2011-2012,2011,2011-08-10,2012-05-25,0,0,0,0,1,2,1,1,0,0,5,13.7
2012-2013,2012,2012-08-08,2013-06-12,0,0,2,0,0,4,6,7,0,1,20,36.1
2013-2014,2013,2013-08-19,,0,0,0,2,0,9,3,4,0,0,18,37.8
2014-2015,2014,2014-08-19,,0,0,0,1,0,5,11,0,0,0,17,27.7
2015-2016,2015,2015-08-18,,0,0,0,0,0,4,9,1,0,0,14,25.1
2016-2017,2016,2016-08-22,,0,0,0,0,0,3,2,2,0,0,7,16.6
2017-2018,2017,2017-08-21,,0,0,0,0,4,7,2,7,0,0,20,NA
